"name","color","position"
"Marvin Gardens","brown",1
"Baltic Avenue","brown",3
"Oriental Avenue","light blue",6
"States Avenue","light blue",8
"Vermont Avenue","light blue",9
"Connecticut Avenue","pink",11
"New York Avenue","pink",13
"St. James Place","pink",14
"Boardwalk","red",16
"St. Charles Place","red",18
"Mediterranean Avenue","red",19
"Indiana Avenue","yellow",21
"Ventnor Avenue","yellow",23
"Park Place","yellow",24
"Pacific Avenue","orange",26
"Pennsylvania Avenue","orange",27
"Illinois Avenue","orange",29
"North Carolina Avenue","green",31
"Tennessee Avenue","green",32
"Virginia Avenue","green",34
"Kentucky Avenue","dark blue",37
"Atlantic Avenue","dark blue",39
